song_id,歌名,别名,作者,来源,本家,收录方式,更新时间,真实作者
140001,雨霖铃,,Alan Mackin,Orzmic,,,2021/2/21,
140002,Cryheart,,RAI&小夜,Orzmic,,,2021/2/21,"['RAI', '小夜']"
140003,Bailar,,igoo2u,Orzmic,,,2021/2/21,
140004,Tales of Ginkgo,,Zris,Orzmic,,,2021/2/21,
140005,BZenith,,xh白女士hx,Orzmic,Orzmic,,2021/2/21,
140006,Apocalypse Seed,,Knightmare0,Orzmic,,,2021/2/21,
140007,Brain Crash,,rider,Orzmic,Orzmic,,2021/9/29,
140008,UNTITLED,,SaMZIng / TSAR,Orzmic,,,2021/2/21,"['SaMZIng', 'TSAR']"
140009,Emotional Confusion,,SamaR3N w/ Koto Spirit,Orzmic,,,2021/2/21,"['SamaR3N', 'Koto Spirit']"
140010,Chartreuse Green,,t+pazolite,Orzmic,,,2021/2/21,
140011,BiBiC Heart,,MYUKKE.,Orzmic,Orzmic,,2021/2/21,
140012,"SCHADEN ~Schubert: Erlkönig, D.328~",,CaraCORE,Orzmic,Orzmic,,2021/2/21,
140013,Spark!e,,Aoi,Orzmic,,,2021/2/21,
140014,Angel Wing,,uma,Orzmic,,,2021/2/21,
140015,ill city (Orzmic Edit),,DySkyLan & VAlzpary,Orzmic,Orzmic,,2021/2/21,"['DySkyLan', 'VAlzpary']"
140016,Star Fall in Evernight City,,Reku Mochizuki,Orzmic,Orzmic,,2021/6/18,
140017,rvp7vre,,Halv,Orzmic,Orzmic,,2021/9/29,
140018,Skyscrapers Stage,,EBIMAYO,Orzmic,Orzmic,,2021/9/29,
140019,Forgotten Emotions,,影虎。,Orzmic,Orzmic,,2021/9/29,
140020,Singularity,,Jun Kuroda,Orzmic,Orzmic,,2022/3/4,
140021,Iridescent Gazer,,polysha,Orzmic,Orzmic,,2022/3/4,
140022,proto:messiah,,かゆき,Orzmic,Orzmic,,2022/3/4,
140023,Enchanted,,ARForest,Orzmic,Orzmic,,2022/3/4,
140024,Fiend Demme,,"Delaina as ""ZxNX""",Orzmic,Orzmic,,2022/3/4,['ZxNX']
140025,Freedom Wing,,HyuN,Orzmic,Orzmic,,2022/10/1,
140026,Haerkzs,,NceS,Orzmic,Orzmic,,2022/10/1,
140027,Falsely,,Fuuryn.G vs AiSS ft. Sepia,Orzmic,Orzmic,,2022/10/1,"['Fuuryn.G', 'AiSS', 'Sepia']"
140028,FORRBIDDEN MAGICKA,,Akira Complex vs. kiraku,Orzmic,Orzmic,,2022/10/1,"['kiraku', 'Akira Complex']"
140029,Saintelmo,,Aoi,Orzmic,Orzmic,,2022/10/1,
140030,Target▲Zero,,WyvernP,Orzmic,Orzmic,,2023/2/24,
140031,Cracked,,影虎。,Orzmic,Orzmic,,2023/2/24,
140032,Avys,,Se-U-Ra,Orzmic,Orzmic,,2023/2/24,
140033,GRAVITY ZOИE,,seatrus,Orzmic,Orzmic,,2023/2/24,
140034,Dead Angel,,D_AAN,Orzmic,Orzmic,,2023/2/24,
140035,Tactics-Exhaustive,,shadow_bling,Orzmic,Orzmic,,2023/12/22,
140036,心機一轉[白],,Pica,Orzmic,Orzmic,,2023/12/22,
140037,Qualia,,RyouRyou,Orzmic,Orzmic,,2023/12/22,
140038,Among Wolves,,Iris,Orzmic,Orzmic,,2023/12/22,
140039,エセ交響詩[若き白の女王],,rN,Orzmic,Orzmic,,2023/12/22,
140040,Forbidden Area,,ADA,Orzmic,Orzmic,,2024/1/13,
140041,つーく・つわんく,,WABI,Orzmic,Orzmic,,2024/1/13,
140042,Orphe,,Avans,Orzmic,Orzmic,,2024/1/13,
140043,Forget Me Not,,Arch,Orzmic,Orzmic,,2024/1/13,
140044,The Last Flower,,Hagali feat.国土佳音,Orzmic,Orzmic,,2024/1/13,"['Hagali', '国土佳音']"
140045,Aleph-0,,LeaF,Orzmic,,,2021/2/21,
140046,conflict,,Siromaru + Cranky,Orzmic,,,2021/2/21,"['Siromaru', 'Cranky']"
140047,Mandragora,,Columba (Daily vs Roon_kun),Orzmic,,,2021/2/21,"['Daily天利', 'Roon_kun']"
140048,PUPA,,モリモリあつし,Orzmic,,,2021/2/21,
140049,Access Granted,,LUNARiUM,Orzmic,,,2022/4/30,
140050,TSUSURVIVORGAMUSH,,Family Farce,Orzmic,,,2022/4/30,
140051,Access Denied,,Knighthood,Orzmic,,,2022/4/30,
140052,DataErr0r,,Cosmograph,Orzmic,,,2021/4/11,
140053,Äventyr,,Rigël Theatre,Orzmic,,,2021/4/11,
140054,Firefly City,,EBIMAYO,Orzmic,,,2021/4/11,
140055,Originally,,SNKS & Mizku,Orzmic,,,2021/4/11,"['SNKS', 'Mizku']"
140056,The Last Page,,ARForest,Orzmic,,,2021/4/11,
140057,Vanishing Glimmer,,Tetrajectory,Orzmic,,,2022/6/2,
140058,CROSS†OVER,,HyuN feat. LyuU,Orzmic,,,2022/6/2,"['HyuN', 'LyuU']"
140059,斷劍の獄,,Rayson,Orzmic,,,2022/6/2,
140060,Psalms～魂の還るばしょ～,,qfeileadh &レゾナンスもえこ,Orzmic,,,2021/6/18,"['qfeileadh', 'レゾナンスもえこ']"
140061,Headache,,NceS,Orzmic,Orzmic,,2021/6/18,
140062,OTTAMA GAZER,,MYUKKE.,Orzmic,,,2021/2/21,
140063,Asphodel Meadow,,The Doll Reaper vs. Knighthood,Orzmic,Orzmic,,2021/6/18,"['The Doll Reaper', 'Knighthood']"
140064,Chapters,,Sephid,Orzmic,Orzmic,,2021/6/18,
140065,写儀の少女Lix,,Se-U-Ra,Orzmic,,,2021/6/18,
140066,BLVNK VIP,,Spyro Kong,Orzmic,Orzmic,,2021/6/18,
140067,R.I.P.,,eicateve,Orzmic,,,2021/6/18,
140068,Nhelv,,Silentroom,Orzmic,,,2022/12/12,
140069,Human Observer,,rmk,Orzmic,,,2022/12/12,
140070,NightTheater,,わかどり,Orzmic,,,2022/12/12,
